CODE,SALES EXECUTIVE,REGION,DAY1,DAY2,DAY3,DAY4,DAY5,TOTAL SALES,TARGET,TARGET HIT%,AWAY FROM TARGET HIT%
1001,Amaan Mehta,South,117,104,106,76,179,582,649,89.68%,-10.32%
1002,Ravi Singh,East,53,151,110,135,147,596,646,92.26%,-7.74%
1003,Neha Verma,West,61,194,136,75,100,566,701,80.74%,-19.26%
1004,Ravi Gupta,South,88,194,100,83,191,656,608,107.89%,7.89%
1005,Anjali Gupta,West,72,176,140,142,134,664,658,100.91%,0.91%
1006,Priya Joshi,North,123,98,170,92,163,646,755,85.56%,-14.44%
1007,Sonia Mehta,West,170,147,160,54,103,634,614,103.26%,3.26%
1008,Vikas Mehta,South,71,69,67,55,58,320,697,45.91%,-54.09%
1009,Vikas Joshi,West,78,175,93,112,179,637,729,87.38%,-12.62%
1010,Rohan Joshi,West,73,186,161,86,81,587,716,81.98%,-18.02%
1011,Amaan Joshi,South,99,158,175,142,60,634,725,87.45%,-12.55%
1012,Neha Reddy,East,192,115,120,179,98,704,676,104.14%,4.14%
1013,Rohan Joshi,South,58,132,63,96,77,426,679,62.74%,-37.26%
1014,Neha Kumar,West,75,159,66,65,60,425,629,67.57%,-32.43%
1015,Priya Verma,East,51,141,120,159,181,652,727,89.68%,-10.32%
1016,Rohan Joshi,West,134,133,100,64,109,540,669,80.72%,-19.28%
1017,Anjali Kumar,West,184,145,169,117,144,759,636,119.34%,19.34%
1018,Ravi Sharma,North,148,134,130,111,53,576,772,74.61%,-25.39%
1019,Neha Joshi,South,125,56,113,72,186,552,777,71.04%,-28.96%
1020,Rohan Reddy,West,65,148,93,154,99,559,630,88.73%,-11.27%
1021,Neha Mehta,South,164,143,167,91,75,640,669,95.67%,-4.33%
1022,Amit Joshi,West,197,143,113,134,131,718,610,117.7%,17.7%
1023,Amit Sharma,North,143,154,114,139,100,650,731,88.92%,-11.08%
1024,Anjali Joshi,East,63,121,108,112,118,522,677,77.1%,-22.9%
1025,Rohan Sharma,West,89,116,173,198,148,724,774,93.54%,-6.46%
1026,Amit Joshi,South,127,70,151,146,164,658,669,98.36%,-1.64%
1027,Rohan Patel,South,107,86,74,127,147,541,719,75.24%,-24.76%
1028,Sneha Mehta,West,166,112,126,177,88,669,674,99.26%,-0.74%
1029,Amaan Singh,South,154,185,168,197,145,849,700,121.29%,21.29%
1030,Sneha Singh,North,125,161,129,186,136,737,652,113.04%,13.04%
1031,Anjali Kumar,West,135,160,100,105,184,684,658,103.95%,3.95%
1032,Amaan Gupta,South,176,77,109,170,99,631,739,85.39%,-14.61%
1033,Vikas Verma,West,117,52,64,95,136,464,634,73.19%,-26.81%
1034,Amit Verma,North,144,192,185,191,52,764,677,112.85%,12.85%
1035,Amaan Joshi,South,142,71,171,98,156,638,607,105.11%,5.11%
1036,Sneha Sharma,East,112,101,65,141,182,601,608,98.85%,-1.15%
1037,Sneha Sharma,South,57,148,164,98,192,659,604,109.11%,9.11%
1038,Amaan Sharma,East,163,141,95,182,154,735,613,119.9%,19.9%
1039,Rohan Patel,West,183,127,174,142,105,731,662,110.42%,10.42%
1040,Rohan Patel,North,50,198,94,59,131,532,712,74.72%,-25.28%
1041,Priya Verma,East,115,105,195,105,168,688,643,107.0%,7.0%
1042,Sneha Sharma,West,69,57,199,165,129,619,712,86.94%,-13.06%
1043,Priya Reddy,West,135,189,168,194,112,798,731,109.17%,9.17%
